,precision,recall,f1-score,support
Benign,0.8251748251748252,0.8722280887011615,0.8480492813141683,947.0
Malignant,0.8643497757847534,0.8150105708245243,0.8389553862894451,946.0
accuracy,0.843634442683571,0.843634442683571,0.843634442683571,0.843634442683571
macro avg,0.8447623004797893,0.8436193297628429,0.8435023338018067,1893.0
weighted avg,0.844751953160558,0.843634442683571,0.8435047357814751,1893.0
